Category,2021 / 2022 (Sales x 1000),2022 / 2023  (Sales x 1000),2023 / 2024  (Sales x 1000),2021 / 2022  (Value of sales per capita),2022 / 2023 (Value of sales per capita),2023 / 2024  (Value of sales per capita)
Total cannabis products,"402,792,800","466,387,600","520,386,800",132,150,163
Dried cannabis,"286,183,800","302,697,000","319,349,600",94,97,100
Inhaled cannabis extracts,"72,917,800","115,920,900","152,354,500",24,37,48
Ingested cannabis extracts,"15,828,300","17,032,500","15,975,000",5,5,5
Solid cannabis edibles,"16,633,600","21,122,300","22,398,000",5,7,7
Cannabis beverages,"5,955,600","7,500,400","8,445,600",2,2,3
"Topicals, seeds, and other cannabis products","5,273,700","2,114,500","1,864,100",2,1,1
